wh_id,srtseq,existing_ship_cmd,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"----",1,"consolidate shipment lines with existing shipments by route to address","","","",""
"----",2,"consolidate shipment lines with existing shipments by dest area","","","",""
"----",3,"consolidate shipment lines with existing shipments by carrier code","","","",""
"----",4,"consolidate shipment lines with existing shipments by carrier service level","","","",""
"----",5,"consolidate shipment lines with existing shipments by delivery date","","","",""
"----",6,"consolidate shipment lines with existing shipments by ship date","","","",""
"----",7,"consolidate shipment lines with existing shipments by wave flag","","","",""
"----",8,"consolidate shipment lines with existing shipments by export type","","","",""
"----",9,"consolidate shipment lines with existing shipments by payment terms","","","",""
"----",10,"consolidate shipment lines with existing shipments by weight","","","",""
"----",11,"consolidate shipment lines with existing shipments by shipby","","","",""
"----",12,"consolidate shipment lines with existing shipments by ship to address","","","",""
"7",1,"consolidate shipment lines with existing shipments by route to address","20200929145959","20200929145959","939161","939161"
"7",2,"consolidate shipment lines with existing shipments by shipby","20200929145959","20200929145959","939161","939161"
