prtnum,ftpcod,prt_client_id,wh_id,uomcod,uomlvl,len,wid,hgt,grswgt,netwgt,pal_flg,layer_flg,cas_flg,pak_flg,stk_flg,rcv_flg,untqty,ctn_flg,thresh_pct,ctn_dstr_flg,bulk_pck_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"000011-038-030","580-320-430-CS","RFH","2","CS",1,43.0,32.0,58.0,1.0,1.0,0,0,1,0,0,0,1,1,100.0,0,1,"20211014103656","20211014103656","SLDOWNLOAD_0","SLDOWNLOAD_0"
"000011-038-030","580-320-430-CS","RFH","2","EA",0,43.0,32.0,58.0,1.0,1.0,0,0,0,0,1,1,1,1,100.0,0,1,"20211014103656","20211014103656","SLDOWNLOAD_0","SLDOWNLOAD_0"
"000011-038-030","580-320-430-CS","RFH","2","PA",2,131.0,102.0,190.0,1.0,1.0,1,0,0,0,0,0,31,1,30.0,0,1,"20211014103656","20211014103656","SLDOWNLOAD_0","SLDOWNLOAD_0"
"000011-038-030","DEFAULT","RFH","2","CS",1,1.0,1.0,38.0,0.0,0.0,0,0,1,0,0,0,1,0,100.0,0,1,"20211008150816","20211008150816","SLDOWNLOAD_2","SLDOWNLOAD_2"
"000011-038-030","DEFAULT","RFH","2","EA",0,1.0,1.0,38.0,1.0,1.0,0,0,0,0,1,1,1,0,100.0,0,1,"20211008150816","20211008150816","SLDOWNLOAD_2","SLDOWNLOAD_2"
"000011-038-030","DEFAULT","RFH","2","PA",2,1.0,1.0,38.0,90.0,90.0,1,0,0,0,0,0,999999,0,100.0,0,1,"20211008150816","20211008150816","SLDOWNLOAD_2","SLDOWNLOAD_2"
"025653-017-075","580-320-430-CS","RFH","2","CS",1,43.0,32.0,58.0,1.0,1.0,0,0,1,0,0,0,1,1,100.0,0,1,"20211014094407","20211014094407","939161","939161"
"025653-017-075","580-320-430-CS","RFH","2","EA",0,43.0,32.0,58.0,1.0,1.0,0,0,0,0,1,1,1,1,100.0,0,1,"20211014094407","20211014094407","939161","939161"
"025653-017-075","580-320-430-CS","RFH","2","PA",2,131.0,102.0,190.0,1.0,1.0,1,0,0,0,0,0,31,1,30.0,0,1,"20211014094407","20211014094407","939161","939161"
"025653-017-075","DEFAULT","RFH","2","CS",1,1.0,17.0,71.0,0.0,0.0,0,0,1,0,0,0,1,0,100.0,0,1,"20211014094400","20211014094400","SLDOWNLOAD_2","SLDOWNLOAD_2"
"025653-017-075","DEFAULT","RFH","2","EA",0,1.0,17.0,71.0,1.0,1.0,0,0,0,0,1,1,1,0,100.0,0,1,"20211014094400","20211014094400","SLDOWNLOAD_2","SLDOWNLOAD_2"
"025653-017-075","DEFAULT","RFH","2","PA",2,1.0,17.0,71.0,90.0,90.0,1,0,0,0,0,0,999999,0,100.0,0,1,"20211014094400","20211014094400","SLDOWNLOAD_2","SLDOWNLOAD_2"
"DUMMYITEM","DEFAULT","RFH","----","CS",1,10.0,10.0,10.0,1000.0,1000.0,0,0,1,0,0,0,1,0,100.0,0,0,"20181031093447","20181031093447","939370","939370"
"DUMMYITEM","DEFAULT","RFH","----","EA",0,10.0,10.0,10.0,1000.0,1000.0,0,0,0,1,1,1,1,0,100.0,0,0,"20181031093447","20181031093447","939370","939370"
"DUMMYITEM","DEFAULT","RFH","----","PA",2,10.0,10.0,10.0,1000.0,1000.0,1,0,0,0,0,0,999999,0,100.0,0,0,"20181031093447","20181031093447","939370","939370"
"DUMMYITEM","DEFAULT","RFH","2","CS",1,10.0,10.0,10.0,1000.0,1000.0,0,0,1,0,0,0,1,0,100.0,0,0,"20181031093447","20181031093447","939370","939370"
"DUMMYITEM","DEFAULT","RFH","2","EA",0,10.0,10.0,10.0,1000.0,1000.0,0,0,0,1,1,1,1,0,100.0,0,0,"20181031093447","20181031093447","939370","939370"
"DUMMYITEM","DEFAULT","RFH","2","PA",2,10.0,10.0,10.0,1000.0,1000.0,1,0,0,0,0,0,999999,0,100.0,0,0,"20181031093447","20181031093447","939370","939370"
